其他名称,详情描述,地区,动画种类,原版名称,原作,制作公司,首播时间,播放状态,剧情类型,标签,官方网站
滑头鬼之孙 第二季,《滑头鬼之孙 ～千年魔京～》是改编自日本漫画家椎桥宽原作的漫画《滑头鬼之孙》京都篇的第二期动画，《滑头鬼之孙》在《周刊少年Jump》上宣布第二季制作决定，于2011年7月3日开始播放。,日本,TV,ぬらりひょんの孫～千年魔京～,椎橋寛,Studio DEEN,2011-07-03,完结,热血 奇幻 战斗 神魔,热血 奇幻 战斗 神魔,http://www.nuramago.jp/index.html
赌博默示录 第二季,"2007年10月开播的黑暗赌博题材的《逆境无赖KAIJIUltimateSurvivor》(赌博默示录),因其内容诡变多异,引人入胜,再加上制作过《斗牌传说》及《死亡笔记》的MADHOUSE(动画制作公司之MADHOUSE)公司轻车熟路的制作,动画自开播以来获得了不少FANS坚定的支持,所以制作方在这一季的最终回播出后,马上对外宣布将趁胜追击,进行第二季的制作.但播放的时间暂时还没有公布。",日本,TV,逆境無頼カイジ 破戒録篇,福本伸行,MADHOUSE,2011-04-06,完结,励志 社会 犯罪 热血,励志 社会 犯罪 热血 剧情,http://www.ntv.co.jp/kaiji_hakairoku/
萝球社！,电视动画《萝球社！》根据苍山探原著、Tinkle负责插画的同名轻小说改编而成。2011年3月，作品决定动画化，由project No.9和Studio Blanc合作制作。动画第1期于2011年7月1日起在AT-X首播，全12话；第2期《萝球社！SS》于2013年7月5日播放。,日本,TV,ロウきゅーぶ！,蒼山サグ,project No.9 / Studio Blanc.,2011-07-01,完结,搞笑 励志 校园 青春 后宫,搞笑 励志 竞技 校园 青春 后宫 治愈 萝莉,http://www.ro-kyu-bu.com/1st/
BLOOD-C,《BLOOD-C》是由著名漫画家4人组CLAMP与日本动画界的Production I.G（《BLOOD》系列出品方）共同推出的原创动画，主要讲述一位拥有特殊能力的主人公更衣小夜，与吞噬人类的“古物”战斗的故事。,日本,TV,BLOOD-C,CLAMP / Production I.G,Production I.G,2011-07-07,完结,战斗 悬疑 奇幻 剧情,战斗 悬疑 奇幻 剧情 血腥,http://www.blood-c.jp/
全职猎人重制版,电视动画《全职猎人》由MADHOUSE公司制作动画，改编自日本漫画家富坚义博创作的同名漫画。,日本,TV,ハンター×ハンター,冨樫義博,MADHOUSE,2011-10-02,完结,冒险 热血 励志 战斗,冒险 热血 励志 战斗,http://www.ntv.co.jp/hunterhunter/
魔法少女小圆,《魔法少女小圆》是由Magica Quartet企划，新房昭之执导，虚渊玄剧本，SHAFT制作的原创电视动画。也是史上获奖最多的日本电视动画。于2011年1月6日起在每日放送首播，全12话。作品亦改编成同名漫画、游戏等。,日本,TV,魔法少女まどか☆マギカ,Magica Quartet,SHAFT,2011-01-07,完结,战斗 冒险 校园 萝莉 魔法 奇幻,战斗 冒险 校园 萝莉 魔法 奇幻 剧情,http://www.madoka-magica.com/tv/
恶魔阿萨谢尔在召唤你,《恶魔阿萨谢尔在召唤你》是根据日本漫画家久保保久的同名漫画作品改编的电视动画，2010年12月发表动画化。于2011年4月在每日放送、AT-X、BS11、TOKYO MX开始放送。,日本,TV,よんでますよ、アザゼルさん。,久保保久,Production I.G,2011-04-09,完结,搞笑 奇幻,搞笑 奇幻,http://gentei.kodansha.co.jp/azazel/
恶魔阿萨谢尔在召唤你OAD,《恶魔阿萨谢尔在召唤你OAD》动画改编自日本漫画家久保保久创作的同名漫画。,日本,OVA,よんでますよ、アザゼルさん。,久保保久,Production I.G,2010-02-22,完结,搞笑 奇幻,搞笑 奇幻,http://gentei.kodansha.co.jp/azazel/
偶像大师,《偶像大师》动画由A-1 Pictures制作，是以日本南梦宫万代发售的同名游戏系列为原作的改编动画作品，为PROJECT IM@S 2nd Vision企划的一部分。于2011年7月7日播放到同年12月，全25话。2012年6月16日播放第26话特别篇。2013年2月10日宣布剧场版制作决定。,日本,TV,THE iDOLM@STER,BANDAI NAMCO Games,A-1 Pictures，TBS,2011-07-08,完结,搞笑 百合 歌舞,搞笑 百合 歌舞,http://www.idolmaster-anime.jp/
银魂' (202-252),电视动画《银魂'》改编自空知英秋的漫画作品《银魂》，是系列动画的第二期，在标题做了小改动，在原标题的“魂”字右上角加了一点，但仍只读作银魂。《银魂'》由日升动画制作，于2011年4月4日开始播放，全51话。,日本,TV,銀魂',空知英秋,SUNRISE,2011-04-04,完结,搞笑 热血 励志 战斗,搞笑 热血 励志 动作 战斗,http://www.sunrise-inc.co.jp/gintama/
魔法老师剧场版 ANIME FINAL,担当原作的赤松健曾于《OVA 另一个世界》发售期间定下一个销量目标，称若目标达成，将会把漫画改篇为长篇动画放送。最后销量目标达成，赤松健亦遵守承诺，预定于2011年推出作品。起初，读者对长篇动画的定义有疑惑的地方，不清楚是属于哪一种动画形式，官方其后澄清为剧场版。,日本,剧场版,魔法先生ネギま! ANIME FINAL,赤松健,SHAFT / Studio Pastoral,2011-08-27,完结,搞笑 校园 后宫 奇幻,搞笑 校园 后宫 奇幻,http://negima.kc.kodansha.co.jp/
摇曳百合,《摇曳百合》系列电视动画改编自日本漫画家なもり原作的同名漫画。故事以娱乐部所属的四个中学女生为中心，描述个性不同的赤座灯里、岁纳京子、船见结衣和吉川千夏这四位女生在日常生活中所发生的搞笑事物。,日本,TV,ゆるゆり,Namori,動画工房,2011-07-04,完结,百合 搞笑 校园 治愈,百合 搞笑 校园 治愈,http://www.yuruyuri.com/1st/
灼眼的夏娜 第三季,电视动画《灼眼的夏娜Ⅲ-FINAL-（灼眼のシャナⅢ-FINAL-）》是由日本小说家高桥弥七郎所著的轻小说《灼眼的夏娜》改编的同名动画《灼眼的夏娜》的第三期作品。,日本,TV,灼眼のシャナIII -Final-,高橋弥七郎,J.C.STAFF,2011-10-08,完结,奇幻 冒险 后宫 战斗 爱情,奇幻 冒险 后宫 战斗 爱情 轻小说,http://www.shakugan.com/
纯白交响曲,《纯白交响曲》（ましろ色シンフォニー）是一部由Palette公司2009年出品的同名游戏所改编的日本动画作品。于2011年由Manglobe公司出品。自2011年10月4日起播映，共12集。,日本,TV,ましろ色シンフォニー -The color of lovers-,ぱれっと,Manglobe,2011-10-05,完结,校园 爱情 后宫,校园 爱情 后宫,http://www.mashiro.tv/
丹特丽安的书架,电视动画《丹特丽安的书架》是根据由三云岳斗创作、G Yusuke负责插画的同名轻小说改编成的电视动画。作品讲述了男主角修伊从收书狂的祖父那里继承了古老的宅邸与身着黑色服装且是被称作持有幻书的知识的黑之书姬的达利安邂逅，之后便经历了许多由幻书引起的奇闻异事。,日本,TV,ダンタリアンの書架,三雲岳斗,GAINAX,2011-07-16,完结,奇幻 推理 悬疑,奇幻 推理 悬疑 轻小说,http://www.gainax.co.jp/anime/dantalian/index.html
日常,电视动画《日常》是根据日本漫画家あらゐけいいち同名漫画改编的电视动画，由京都动画制作，于2011年4月3日播出，共26话。重制版于2012年1月1日开始在NHK教育频道播出，删减后共12话。OVA于2011年3月12日发售。,日本,TV,日常,あらゐけいいち,京都动画,2011-04-03,完结,搞笑 校园 治愈,搞笑 校园 治愈,http://www.shinonome-lab.com
花开伊吕波,《花开伊吕波》是由日本动画公司P.A.WORKS制作的原创电视动画作品，为P.A.WORKS十周年纪念作品，于2010年12月5日在石川县金泽市的金泽21世纪美术馆发布制作决定。,日本,TV,花咲くいろは,暂无,P.A.WORKS,2011-04-03,完结,青春 励志 爱情 职场,青春 励志 爱情 职场 治愈,http://www.hanasakuiroha.jp/tv/
海贼王剧场版 追寻草帽,《航海王：追寻草帽》是海贼王3D剧场版第十一弹，于2011年3月19日在日本上映的第十一部《ONE PIECE》剧场版动画。并首次采取3D制作技术，也是历年来所有剧场版长度最短的一部。,日本,剧场版,ONE PIECE 3D 麦わらチェイス,尾田栄一郎,暂无,2011-03-19,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,http://www.jump-heroesfilm.com/
海贼王特别篇 3D 激走！陷阱过山车,东映动画公司宣布，将重新制作人气电视动画《ONE PIECE》的3d立体影像《ONE PIECE 3d激走! trap course》，并于12月起在全国各地的主题公园和活动场所限定上映。,日本,剧场版,ONE PIECE 3D 激走!トラップコースター,尾田栄一郎,暂无,2011-12-01,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
GOSICK,电视动画《GOSICK》改编自日本作家樱庭一树原作的同名轻小说，动画由BONES负责制作。 2006年4月曾推出过广播剧 CD。在2010年3月中旬宣布动画化企划进行中。,日本,TV,GOSICK -ゴシック-,桜庭一樹,BONES,2011-01-07,完结,推理 悬疑 爱情,推理 悬疑 爱情 萝莉 轻小说,http://www.tv-tokyo.co.jp/anime/gosick/
死囚乐园,电视动画《死囚乐园》改编自同名轻小说，由manglobe制作。,日本,TV,デッドマン・ワンダーランド,片岡人生 / 近藤一馬,Manglobe,2011-04-16,完结,悬疑 战斗 血腥,悬疑 战斗 血腥,http://dwl.jp/
寒蝉鸣泣之时 煌,OVA作品《寒蝉鸣泣之时煌》改编自日本同人社团07th Expansion所制作的同人游戏《寒蝉鸣泣之时》，是《寒蝉鸣泣之时》系列的10周年纪念作品，也是该系列动画的第4期。动画由Studio Deen负责制作，从2011年7月21日起陆续发售，至2012年1月25日发售第四卷，全4卷。,日本,OVA,ひぐらしのなく頃に煌,竜騎士07 / 07th Expansion,Studio DEEN,2011-07-21,完结,科幻 悬疑 治愈,科幻 悬疑 治愈,http://www.oyashirosama.com/web/kira/index.html
