其他名称,详情描述,地区,动画种类,原版名称,原作,制作公司,首播时间,播放状态,剧情类型,标签,官方网站
咕噜咕噜魔法阵 第二季,电视动画《咕噜咕噜魔法阵》改编自改编自卫藤浩幸原作的同名漫画，动画由日本动画公司负责制作。,日本,TV,ドキドキ♡伝説 魔法陣グルグル,衛藤ヒロユキ,Nippon Animation,2000-04-04,完结,奇幻 搞笑 亲子,奇幻 搞笑 亲子,http://www.nippon-animation.co.jp/na/guru2/index.htm
海贼王TV版特别篇 路飞落下！秘境 海肚脐的大冒险,《海贼王SP：路飞落下 秘境 海肚脐的大冒险》是尾田荣一郎导演的一部剧情电影。,日本,TV,ルフィ落下! 秘境・海のヘソの大冒険,尾田栄一郎,暂无,2000-12-20,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
咕噜咕噜魔法阵,电视动画《咕噜咕噜魔法阵》改编自改编自卫藤浩幸原作的同名漫画，动画由日本动画公司负责制作。,日本,TV,魔法陣グルグル,衛藤ヒロユキ,Nippon Animation,1994-10-13,完结,奇幻 搞笑 亲子,奇幻 搞笑 亲子,http://www.nippon-animation.co.jp/work/mahojin_guruguru.html
海贼王特别篇 打倒海贼强萨克！,在某个海岛小渔村长大。和暂驻在渔村的大海盗红发撒古斯感情很好，于是一心想成为海盗。眼下的疤痕就是为了显示自己够狠自己用刀划的（果然够狠，汗）。可是路飞7岁时糊里糊涂的吃了海盗们抢来的恶魔果实——橡皮果实，从此再也学不会游泳。这样还能成为海盗吗？路飞的答案是——只要不掉到海里就可以了（听上去好像很有道理，可是……我真的给这个单细胞的家伙打败了）。,日本,OVA,ONE PIECE 倒せ!海賊ギャンザック,尾田栄一郎,Production I.G,1998-07,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
海贼王剧场版 黄金岛冒险,《ONE PIECE 黄金岛大冒险》是于2000年上映的第一部《ONE PIECE》剧场版。中国中央电视台电影频道（CCTV-6）亦曾引进并于2011年8月8日下午14:50分首播，片名翻译为《航海王：黄金岛大冒险》。,日本,剧场版,ONE PIECE the movie,尾田栄一郎,暂无,2000-03-04,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
海贼王SP合集,TVSP&OVASP：,日本,OVA,暂无,尾田栄一郎,暂无,1998-07,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
名侦探柯南,电视动画《名侦探柯南》改编自青山刚昌创作的、连载于《周刊少年Sunday》上的漫画《名侦探柯南》。动画于1996年1月8日首播。,日本,TV,名探偵コナン,青山剛昌,TMS Entertainment,1996-01-08,连载,悬疑 推理 犯罪,悬疑 推理 犯罪,http://www.ytv.co.jp/conan/
咕噜咕噜魔法阵剧场版,传说中有个吃了后无论什么愿望都能实现的道具，名为幸福的咸菜，巨大龙在巨大山等待着勇者的愿望，只要是巨大龙认可的愿望，谁都能得到幸福的咸菜。得知此传闻的勇者仁傑和魔女歌莉决定出发寻找幸福的咸菜……,日本,剧场版,劇場版 魔法陣グルグル,衛藤ヒロユキ,Nippon Animation,1996-04-20,完结,奇幻 搞笑 亲子 冒险,奇幻 搞笑 亲子 冒险,暂无
樱桃小丸子,《樱桃小丸子》是全球知名度最高及最具影响力的动漫作品之一。其动画连续二十余年高居日本动画收视率前三位，到2013年时已超过1000集，仍于每周日黄金时段下午六点在日本富士电视台上进行连载热播，是日本男女老少心中的国民动画。本作品是以作者的童年生活为蓝本，故事围绕着小丸子以及其家人和同学展开，有关于亲情、友谊，或是一些生活小事，其中有笑有泪，令人回想起童年的稚气。,日本,TV,ちびまる子ちゃん,さくらももこ,Nippon Animation,1990-01-07,完结,搞笑 亲子 亲情,搞笑 亲子 亲情 童年,http://chibimaru.tv/
樱桃小丸子 第二季,故事以20世纪70年代日本静冈清水市为背景，这里生活着快乐而幸福的樱一家。樱桃子（小丸子）是家中最小的女儿，她贪玩懒惰，还迷迷糊糊，经常惹得妈妈和姐姐大发雷霆。不过身边有个没正形儿的父亲和溺爱她的爷爷，倒让小丸子的生活不致于太无聊。尤其是爷爷，祖孙俩在一起可没少闹笑话。,日本,TV,ちびまる子ちゃん,さくらももこ,Nippon Animation,1995-01-08,完结,搞笑 亲子 亲情,搞笑 亲子 亲情,http://wwwz.fujitv.co.jp/maruchan
海贼王,电视动画《航海王》改编自尾田荣一郎创作的同名长篇少年漫画，动画由东映动画制作。,日本,TV,ONE PIECE,尾田栄一郎,東映動画,1999-10-20,连载,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,http://www.fujitv.co.jp/b_hp/onepiece/index.html
樱桃小丸子剧场版 大野与杉山,《樱桃小丸子:友情岁月》是根据漫画家樱桃子创作的漫画《樱桃小丸子》改编的动画电影。本作同时也是《樱桃小丸子》首次改编成电影，登上大荧幕。影片于1990年12月15日公映。,日本,剧场版,ちびまる子ちゃん 劇場版 大野君と杉山君,さくらももこ,Nippon Animation,1990-12-15,完结,搞笑 亲子 亲情,搞笑 亲子 亲情,暂无
樱桃小丸子剧场版 我喜欢的歌,《樱桃小丸子：我喜欢的歌》是1992年上映的，搞笑、儿童类型的作品。,日本,剧场版,びまる子ちゃん 劇場版 わたしの好きな歌,さくらももこ,Nippon Animation,1992-12-19,完结,搞笑 亲子 亲情,搞笑 亲子 亲情,暂无
钢铁杰克,本作时代设定成‘钢铁吉克’的50年后、不过非动画版‘钢铁吉克’的续集而是采用安田达矢作画而在テレビマガジン志上连载的漫画版作为续篇、一部份角色的设定也有所差易。本作有着热血主角的设定和女主角的性感表现、宛如1970年到1980年时的永井豪作品作风一样。,日本,TV,鋼鉄ジーグ,永井豪,東映動画,1975-10-05,完结,科幻 热血 战斗,科幻 热血 战斗,http://www.toei-anim.co.jp/lineup/tv/kotetsuz/
星际牛仔,《星际牛仔》（カウボーイビバップ；Cowboy Bebop），是日本SUNRISE动画公司制作的原创电视动画，于1998年播出，同年夺得第三回神户动画奖的年度最佳电视动画奖，并于2000年获得日本科幻大会星云奖。,日本,TV,カウボーイビバップ,矢立肇,SUNRISE,1998-10-23,完结,科幻 冒险 犯罪 剧情,科幻 冒险 犯罪 剧情,http://www.cowboy-bebop.net/index.html
暗之末裔,电视动画《暗之末裔》改编自日本漫画家松下容子原作的同名漫画。电视动画于2000年10月2日—12月18日在WOWOW播出，全13话。,日本,TV,闇の末裔,松下容子,J.C.STAFF,2000-10-02,完结,耽美 女性向,耽美 女性向,http://www.jcstaff.co.jp/sho-sai/ya-shokai/yami-syokai.htm
新世纪福音战士剧场版 死与新生,《新世纪福音战士》电影版第1部。分为“DEATH篇（死亡篇）”与“REBIRTH篇（新生篇）”两个部分。“死亡篇”以原TV版动画第1集到第 24集的内容为基础，重新剪辑了一个总结篇。“新生篇”内容承接第24集内容：,日本,剧场版,新世紀エヴァンゲリオン劇場版 シト新生,庵野秀明 / GAINAX,Production I.G / GAINAX,1997-03-15,完结,科幻 机战 爱情,科幻 机战 爱情,暂无
新世纪福音战士,《新世纪福音战士》是由龙之子工作室、GAINAX两家日本动画公司共同制作的动画作品，简称《EVA》。该片于1995年10月4日-1996年3月27日在日本首播，全26集。由庵野秀明担任主要编剧及总导演，贞本义行担任角色设计，绪方惠美、林原惠、宫村优子、三石琴乃等人担任主要配音。,日本,TV,新世紀エヴァンゲリオン,GAINAX,GAINAX / タツノコプロ,1995-10-04,完结,科幻 机战 爱情,科幻 机战 爱情,暂无
天使禁猎区,《天使禁猎区》（天使禁猟区）是日本漫画家由贵香织里于1995年开始连载的漫画，全20卷。本作曾被制作成3集的OVA，但其剧情仅仅覆盖了原作的一部分。另有同名游戏上市。人物角色丰富，被众多漫迷所cos。,日本,OVA,天使禁猟区,由貴香織里,Hal Film Maker,2000-05-25,完结,奇幻 耽美,奇幻 耽美,暂无
新世纪福音战士剧场版 Air/真心为你,神秘的EVA零号机驾驶员绫波丽，在与碇元度约定之时，来到了NERV底层中央教条的红色水池边。她的命运似乎就将在此结束。,日本,剧场版,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,GAINAX / 庵野秀明,GAINAX / Production I.G,1997-07-19,完结,科幻 机战 爱情,科幻 机战 爱情,暂无
天空之城,在过去的历史之中，传说着曾有人类以高科技创造了可飞行于天空的城市——拉普达。虽多数认为这是虚构幻想出来的事物，但仍有相信飞行城市存在而试图寻找出的人们。,日本,剧场版,天空の城ラピュタ,宮崎駿,Studio Ghibli,1986-08-02,完结,奇幻 冒险 励志,奇幻 冒险 励志,暂无
东京巴比伦,OVA1:,日本,OVA,東京BABYLON,CLAMP,Animate Film / アニメイトフィルム,1992-10-21,完结,奇幻 战斗,奇幻 战斗,暂无
纯情房东俏房客,《纯情房东俏房客》是由日本动画公司XEBEC制作，改编自赤松健的原作同名漫画的电视动画作品，于2000年4月19日至2000年9月27日在东京电视台播放，全24话；其后又播放了2个特别篇。,日本,TV,ラブひな,赤松健,XEBEC,2000-04-19,完结,搞笑 后宫 治愈,搞笑 后宫 治愈,http://www.tv-tokyo.co.jp/anime/lovehina/
我家也有外星人,也不知是过去还是未来的年代，“外星移民”早成了平凡的存在。贫穷考生真由子寄居在“荏之花”澡堂的阁楼，一天到晚三餐不继却还得养活个吃白食的外星懒虫。于是万丈波涛滚滚而来。外星小孩妮娅最大的爱好就是收集垃圾，从中回收剩余物资再造飞船。头上没有像其他外星人样生着天线，被蔑称为“低等外星人”却从未在意，在自己的曲调早活得优哉游哉。真由子的认真清苦，真由子的胆小谨慎，在那外星小孩的心无城府面前，忽然变得意义不明。严肃刻板与大而化之的碰撞，带着轻捷的喜剧色彩，余音早又有些淡色水彩般的惆怅。,日本,TV,NieA_7,暂无,Triangle Staff,2000-04-26,完结,搞笑 科幻 百合 治愈,搞笑 科幻 百合 治愈,http://www.geneon-ent.co.jp/rondorobe/anime/niea/
最游记,《幻想魔传 最游记》是由东京电视台、电通、Studio Pierrot联合制作的TV动画，改编自峰仓和也创作的漫画《最游记》。,日本,TV,幻想魔伝 最遊記,峰倉かずや,小丑社,2000-04-04,完结,奇幻 热血 战斗,奇幻 热血 战斗,暂无
蜡笔小新,《蜡笔小新》是日本已故漫画家臼井仪人所著的漫画。由于蜡笔小新大受欢迎，动画版于1992年在朝日电视台播出。在日本，电视动画版自1992年4月13日开始，持续在朝日电视台播出。尽管播放时间超过10年，目前仍有10～12％的收视率，堪称是少数几部的长寿动画，收视率常高居前10名。,日本,TV,クレヨンしんちゃん,臼井儀人,SHIN-EI动画,1992-04-13,连载,搞笑 日常,搞笑 日常,http://www.tv-asahi.co.jp/shinchan/
盖亚奥特曼,《盖亚·奥特曼》是继《迪迦·奥特曼》和《戴拿·奥特曼》之后的作品，于1998年9月5日—1999年8月28日每周六18:00~18:30在每日放送和TBS电视台旗下系列电视台首播。 全51集。,日本,WEB,盖亚奥特曼,暂无,圆谷株式会社,1998-09-05,完结,科幻 特摄 战斗,科幻 特摄 战斗,暂无
犬夜叉,大妖怪犬大将斗牙王与人类公主十六夜的儿子---犬夜叉，因为自己半妖的身份受到人类与妖怪的排斥，为了成为真正的妖怪而想得到四魂之玉；而巫女桔梗为了保护和净化四魂之玉，运用灵力不断与前来抢夺四魂之玉的妖怪战斗而犬夜叉也看到了渴望过平凡生活的巫女桔梗。在不断的相互了解中，两人相爱了，并最终约定利用四魂之玉的力量，把犬夜叉变成人类，守护使命结束的桔梗也可以回归到平凡生活。但是，在约定的日子里，发生了难以预料的变故。被假犬夜叉袭击而受到重伤的桔梗在背叛的愤怒中，用尽力气把犬夜叉封印在御神木上，然后带着四魂之玉在火焰中死去。悲剧就此拉开序幕……,日本,TV,犬夜叉,高橋留美子,SUNRISE,2000-10-16,完结,奇幻 穿越 战斗,奇幻 穿越 战斗,http://www.sunrise-inc.co.jp/yasya/
地狱老师OVA,"作为电视动画的续篇共发行了3作，3作的开头旁白都是由电视动画中的来宫良子代替，由扮演“鱼”的置鲇龙太郎担任。标题是这个文字不是OP标题，和电视系列一样作为副标题被标记。虽然包装盒上没有“东映VANIME”的标记，但动画相关的作家小黑祐一郎将其归类为同品牌的OVA。第二部(1998年10月发售)到与以往相同组件画制作,但是第三部(1999年10月发售)在东映动画(发售前一年的1998年10月从东映动画商号变更)从过渡到数字彩色涅也没有时间制作的,也有电视动画和不同颜色味道。",日本,OVA,地獄先生ぬ〜べ〜 OVA,加々美高浩,暂无,1998-09-21,完结,奇幻 校园,奇幻 校园,暂无
千与千寻,《千与千寻》是宫崎骏执导、编剧，柊瑠美、入野自由、中村彰男、夏木真理等配音，吉卜力工作室制作的动画电影，于2001年7月20日在日本上映。,日本,剧场版,千と千尋の神隠し,宮崎駿,Studio Ghibli,2001-07-20,完结,奇幻 治愈 亲情,奇幻 治愈 亲情,暂无
海贼王剧场版 发条岛的冒险,《ONE PIECE 发条岛的冒险》 是于2001年上映的第二部《ONE PIECE》剧场版动画电影。讲述了草帽海贼团的海贼船被偷走后与发条岛上的海贼发生的故事。,日本,剧场版,ONE PIECE ねじまき島の冒険,尾田栄一郎,暂无,2001-03-03,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
星际牛仔 天国之扉,《星际牛仔：天国之扉》是由渡边信一郎执导，山寺宏一、石冢运升等配音的动画电影。,日本,剧场版,カウボーイビバップ 天国の扉,矢立肇,BONES,2001-09-01,完结,科幻 冒险 犯罪 剧情,科幻 冒险 犯罪 剧情,http://www.sonypictures.com/cthe/cowboybebop/
通灵王,“通灵王大赛”每500年举行一次，胜出者可得到代表一切的伟大精神（精灵王），而主角麻仓叶虽然没有意愿参加，但基于他是麻仓家子孙而去参赛，以阻止其双胞胎兄长，同时亦是他祖先麻仓叶王得到伟大精神G.S（精灵王），原因是麻仓叶王要创造一个只有通灵者的世界。当中麻仓叶认识了来自中国的通灵人道莲、来自北海道的轰隆轰隆、英国的瑞瑟格、美国的巧克力爱情等，共同向通灵王的目标进发。,日本,TV,シャーマンキング,武井宏之,XEBEC,2001-07-04,完结,热血 奇幻 战斗,热血 奇幻 战斗,暂无
皇家国教骑士团,《皇家国教骑士团》根据平野耕太漫画Hellsing改编的TV动画，由动画公司Diqimation k.k.制作。在2001年10月10日开始播出。全集13话，已完结。,日本,TV,HELLSING,平野耕太,GONZO / Digimation,2001-10-18,完结,奇幻 热血 战斗,奇幻 热血 战斗,暂无
黑暗圣经,《黑魔术学园》（或译作《黑暗圣经》，日文原名バイブルブラック，即英文Bible Black）是2000年由日本Active公司制作的一款十八禁游戏，原画和脚本制作者是著名的“圣少女”。此作是“圣少女”受雇Active时期6部原画作品的第五部、出任原作者后“三部曲”中的第二部。,日本,OVA,Bible Black,Active,Milky,2001-07-21,完结,其他,其他,http://www.ms-pictures.com/
魔力女管家,电视动画《魔力女管家》由GAINAX与SHAFT联合制作，改编自中山文十郎原作、ぢたま（某）作画的同名漫画。动画于2001年10月5日起在BS-i首播，全12话，外加总集篇1话。剧情对应原作漫画的前3卷。,日本,TV,まほろまてぃっく,中山文十郎 / ぢたま某,GAINAX / SHAFT,2001-10-05,完结,搞笑 科幻 治愈,搞笑 科幻 治愈,暂无
人形电脑天使心,《人型电脑天使心》是改编自CLAMP原作的同名漫画的动画作品，由MADHOUSE制作，于2002年4月2日至9月24日在日本TBS系列播放，共27话。,日本,TV,ちょびっツ,CLAMP,MADHOUSE,2002-04-02,完结,爱情 科幻 治愈,爱情 科幻 治愈 剧情,http://www.tbs.co.jp/chobits/
鬼眼狂刀,动画《鬼眼狂刀》（Samurai Deeper Kyo）改编自上条明峰于1999年至2006年连载于《周刊少年magazine》的一部以日本江户时期为背景的历史架空漫画。,日本,TV,サムライ ディーパー キョウ,上条明峰,Studio DEEN,2002-07-01,完结,冒险 热血 奇幻 战斗,冒险 热血 奇幻 战斗,http://king-cr.jp/special/kyo/
海贼王剧场版 珍兽岛之乔巴王国,《ONE PIECE ： 珍兽岛的乔巴王国》是于2002年上映的第三部《ONE PIECE》第三弹剧场版动画。由导演志水淳儿执导。由桥本裕志、尾田荣一郎编剧。,日本,剧场版,ONE PIECE 珍獣島のチョッパー王国,尾田栄一郎,暂无,2002-03-02,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
海贼王特别篇 梦幻足球王,同时上映的短片。为了争夺格兰德龙杯的冠军，草帽团和坏人全明星队将在点球大战中决出胜负。,日本,剧场版,夢のサッカー王!,尾田栄一郎,暂无,2002-03-02,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
私立荒矶高等学校生徒会执行部,私立荒矶高中生徒会执行部（又被译作《男男罪游记》）是日本漫画家峰仓和也所著的漫画作品。,日本,OVA,私立荒磯高等学校生徒会執行部,峰倉かずや,Nippon Animation,2002-03-29,完结,校园 耽美,校园 耽美 女性向,暂无
青出于蓝,大学生「花菱熏」的身边，突然出现了一位身着和服楚楚可怜的美少女。她叫「樱庭葵」在从小的时候就一直思挂着其两人之婚约。这婚约则是由双方家长所同意决定的。而舍弃花菱财团的身分而独自生活的熏，却不能接受葵﹔但在葵以身相许的态度和自己思念决定下而受影响的熏，则慢慢的被葵所吸引。而当葵了解熏的内心后，也说决定不回去樱庭家，要跟熏一起生活。在熏狭小的公寓内，与大小姐的葵即将开始过甜蜜的两人世界。,日本,TV,藍より青し,文月晃,J.C.STAFF,2002-04-10,完结,爱情 后宫 治愈,爱情 后宫 治愈,http://www.aiyoriaoshi.com/
魔力女管家～更美丽的事物～,在20世纪80年代，宁静的地球突然遭到外星人的攻击，在另一种文明的侵略下，地球军节节败退，情况万分危急。这时在日本东京市惠比寿的地下，一个名为VASPER的神秘组织在此成立，首领为东.维斯帕，司令官为大门 隼人。VASPER其使命，便是对付目前地球所遭受的危机，拯救即将灭亡的人类。 ,日本,TV,まほろまてぃっく 〜もっと美しいもの〜,中山文十郎 / ぢたま某,SHAFT / GAINAX,2002-09-26,完结,搞笑 科幻 治愈,搞笑 科幻 治愈,暂无
纯情房东俏房客 Again,“听说相爱的两个人如果能一起进东京大学（简称东大），他们就能获得[幸福]哦！所以，在我们两个长大以後，就两个一起进东大去读书吧！”景太郎就是因为小时与一个连姓名也不记得的女孩的约定誓要考进东大。15年後，景太郎并没有因为失败过2次而放弃，下定决心考进东大！,日本,OVA,ラブひな Again,赤松健,XEBEC,2002-01-26,完结,搞笑 后宫 治愈,搞笑 后宫 治愈,http://www.tv-tokyo.co.jp/anime/lovehina/
Kanon,《Kanon》改编自同名游戏作品，2002年由东映动画改编为电视动画剧集，即动画版第一作（也称东映版、旧版、第一季），由伊藤尚往执导，共13集。,日本,TV,Kanon,Key/Visual Art's,東映動画,2002-01-30,完结,校园 爱情 治愈,校园 爱情 治愈,http://www.toei-anim.co.jp/tv/kanon/
夫妻成长日记,《夫妻成长日记》是日本漫画家克亚树所创作的一个成人漫画系列。主人公“阿真”透过相亲结识到她的妻子“优良”，故事内容则围绕这对新婚夫妻和他们的邻居、亲人的日常生活和性生活。,日本,OVA,ふたりエッチ 第1期,克・亜樹,カオスプロジェクト,2002-07-26,完结,爱情,爱情,暂无
圆盘皇女,《圆盘皇女》是TNK制作、改编自介错的同名漫画的少女动画作品。电视动画第1季于2002年7月4日~2002年9月19日发送，第2季于2003年10月4日~2003年12月20日发送。,日本,TV,円盤皇女ワるきゅーレ,介錯,TNK,2002-07-04,完结,搞笑 奇幻 后宫,搞笑 奇幻 后宫,暂无
推理之绊,《推理之绊》是根据城平京原作漫画改编的电视动画，共25话，于2002年10月1日开始在东京电视台播出。其后推出了小说、drama CD、画集等衍生作品。由于动画版结束时漫画还未连载完毕，所以动画版以原创故事收尾。其前传漫画《推理之绊-螺旋重现》（スパイラル・アライヴ）亦已连载完毕，为整个系列画下了休止符。,日本,TV,スパイラル ～推理の絆～,城平京 / 水野英多,J.C.STAFF,2002-10-01,完结,校园 推理,校园 推理,暂无
火影忍者,在火影忍者正式故事展开的12年前，一只被称为九尾 妖狐的妖怪袭击木叶忍者村，传说它一挥动尾巴就会山崩海啸。当时的第四代火影“木叶黄色闪光”波风皆人牺牲自己的性命，把九尾封印在刚出生的孩子 漩涡鸣人身上。,日本,TV,NARUTO -ナルト-,岸本斉史,小丑社,2002-10-03,完结,冒险 奇幻 热血 战斗,冒险 奇幻 热血 战斗,http://www.naruto.com/
最终兵器彼女,电视动画《最终兵器女友》改编自日本漫画家高桥真原作的同名漫画，由GONZO制作，于2002年7月2日起每周二19:00在日本FAMILY剧场首播，全13话。,日本,TV,最終兵器彼女,高橋しん,GONZO,2002-06-02,完结,科幻 校园 爱情,科幻 校园 爱情,暂无
拜托了老师,《拜托了，老师》是一部由Please!制作的动画作品。该动画于2002年1月10日至3月28日在WOWOW播放；Animax亚洲引进版权并于香港及东亚等地区播放。,日本,TV,おねがい☆ティーチャー,Please!,童夢,2002-01-10,完结,校园 爱情 后宫,校园 爱情 后宫,http://www.please-please.jp/
三角心 ～永恒之恋曲～,《三角心 ～永恒之恋曲～》（とらいあんぐるハート（Triangle Hearts）～Sweet Songs Forever～）是2003年出品的日本动画OVA。但由于比《魔法少女奈叶》出品时间要早的关系，有很多人误认为是“魔法少女奈叶前传”。但由于官方没有承认是同一部动画片的前传作品，最初的《魔法少女奈叶》是从《莉莉卡露玩具箱》上改编而来的，并不是从什么前传中改编的。再加上先有原作，后有同人、剧情描写所代表世界也不同等情况下，本作品既不能认作“魔法少女奈叶前传”，也不能认作为是世界观不同的“两世界平行”的同人作品。,日本,OVA,とらいあんぐるハート 〜Sweet Songs Forever〜,都築真紀 / ivory,SEVEN・ARCS,2003-07-24,完结,爱情 奇幻,爱情 奇幻,http://www.sp-janis.com/janis/triangleheart3/
海贼王TV版特别篇 父亲宏大的理想,《海贼王TV版特别篇：父亲宏大的理想》是一部影视作品，主演田中真弓。,日本,TV,大海原にひらけ! でっかいでっカイ父の夢,尾田栄一郎,暂无,2003-04-06,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
海贼王剧场版 死亡尽头的冒险,《ONE PIECE 死亡尽头的冒险》是宇田钢之介导演的《ONE PIECE》剧场版第四部。主要讲述了草帽海贼团在汉那巴尔，参加了一场充满挑战的比赛。,日本,剧场版,ONE PIECE THE MOVIE デッドエンドの冒険,尾田栄一郎,暂无,2003-03-01,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
海贼王TV版特别篇 守卫！最后的大舞台,某座小岛即将上演一出冒险戏剧，这正是伟大艺术家兰多鲁夫的引退演出。距离出海还有一段时间，路飞、乌索普、乔巴、娜美、山治等草帽海贼团的伙伴们闲极无聊，决定留下来观看演出。这几个无忧无虑的家伙跑进剧团的后台，穿上戏服玩起了角色扮演，乐在其中。就在此时，他们听到舞台上传来的砍杀声。原来，那正是兰多鲁夫与剧团成员在排练。这位老人气力已衰，却仍坚持演出，然而本应出演公主的女演员却突然辞演，离开剧团。眼看晚上的公演即将取消，娜美却突然走上前台主动请缨，草帽海贼团的各位也一拥而上要求扮演角色。兰多鲁夫难忘的告别演出即将开场……,日本,TV,ONE PIECE 守れ! 最後の大舞台,尾田栄一郎,暂无,2003-12-14,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
真月谭月姬,真月谭月姬》是一部都市奇幻作品，根据TYPE-MOON制作的同人游戏《月姬》改编而成。动画由J.C.STAFF制作，2003年10月9日起开始在BS-i播出，全12话。,日本,TV,真月譚 月姫,奈須きのこ / TYPE-MOON,J.C.STAFF,2003-10-09,完结,奇幻 校园 爱情,奇幻 校园 爱情,http://www.geneon-ent.co.jp/rondorobe/anime/tsukihime/
人鱼的旋律,《人鱼的旋律》（美人鱼PichiPichiPitch，マーメイドメロディーぴちぴちピッチ）是由爱知电视台制作的电视动画作品，改编自横手美智子和花森小桃的漫画作品《ぴちぴちピッチ》，于2003年4月5日开始播放，共91话。,日本,TV,マーメイドメロディーぴちぴちピッチ,横手美智子 / 花森ぴんく,Actas / SynergySP,2003-04-05,完结,搞笑 奇幻 爱情 歌舞,搞笑 奇幻 爱情 歌舞,http://www.tv-aichi.co.jp/pichi/
初音岛,《初音岛》是根据CIRCUS公司的同名游戏改编的电视动画，由ZEXCS制作，于2003年7月5日播出，全26话。剧情基本按照游戏改编，以人物介绍-配角剧情-主线剧情模式展开，最后以音梦路线作结尾。,日本,TV,D.C. 〜ダ・カーポ〜,Circus,ZEXCS,2003-07-05,完结,校园 爱情 后宫 治愈,校园 爱情 后宫 治愈,http://www.hatsunejima.com/dc/
钢之炼金术师,《钢之炼金术师》是根据日本漫画家荒川弘创作的漫画作品改编的同名电视动画。,日本,TV,鋼の錬金術師,荒川弘,BONES,2003-10-04,完结,热血 奇幻 战斗,热血 奇幻 战斗,http://www.hagaren.jp/
魔力女管家夏日TV特别篇 「我认为H是不对的！」,于2003年8月14日在BS-i播放。全1话。原创剧情作品。,日本,TV,まほろまてぃっく夏のTVスペシャル 「えっちなのはいけないと思います!」,中山文十郎 / ぢたま某,GAINAX / SHAFT,2003-08-14,完结,搞笑 科幻 治愈,搞笑 科幻 治愈,暂无
人鱼之森,少女真鱼从小时候开始就在小村落的宅邸里由婆婆抚养长大，现在已经15岁了。而一直在寻找人鱼的青年涌太，终于来到了这个村落。村落里的老女人们包围住涌太，用鱼叉刺伤了他，并把他丢入洞穴里。但是，涌太却没有死。发现了人鱼尸体的涌太，又出现在真鱼的家中，与老女人们打了起来，并背负着真鱼谋求逃走。逃入洞穴的涌太，为真鱼解开了一直带着的脚镣。还告诉了她，自己因为以前吃过人鱼肉而变得不老不死，并听说如果能遇到人鱼的话也许可以重新变回普通人的事情......,日本,TV,高橋留美子劇場 人魚の森,高橋留美子,TMS Entertainment,2003-10-04,完结,奇幻 剧情,奇幻 剧情,暂无
青出于蓝～缘～,在上一次的风波后，已经过了一年，熏与葵的感情更加深厚，然而，他们并不知道他们即将面临他们一生中最大的考验，已经到了他们作出抉择的时刻了.......,日本,TV,藍より青し～縁～,文月晃,J.C.STAFF,2003-10-12,完结,爱情 后宫 治愈,爱情 后宫 治愈,http://www.aiyoriaoshi.com/
内衣战士玫瑰蝴蝶,连载与月刊少女杂志『おとめ』(丰满社刊)上连载中的性感动作大作《内衣战士 蝴蝶玫瑰》(原作/はなぞのあい)继2003年的OVA以来，终于宣布TV动画化了，“New Season”播出时间也基本决定，明年2月地上波播出。本次TV预计只推出6话的短片，短小而精悍，用来YY是足够了。,日本,OVA,ランジェリー戦士 パピヨンローゼ,箕星太朗,Milky,2003-04-25,完结,奇幻 其他,奇幻 其他,暂无
神枪少女,意大利罗马的某“社会福利公社”是一个以公益事业为幌子从事为政府执行特种任务的特务机构~~其杀手全部由接受义体（人体改造）和条件付与（洗脑）的少女担任~~接受义体和条件付与的最终结果将是记忆的消失与身体的毁灭~~为此公社派出特工专门寻找身体残疾或失去父母的孤儿~~以福利院的名义将她们带回进行秘密改造~~成为强悍而只听命于与之搭档的特工的冷酷杀手“Gunslinger Girl”~~公社的每位特工与一位少女作为搭档执行任务~~这种搭配被他们称为“兄妹”~~,日本,TV,GUNSLINGER GIRL,相田裕,MADHOUSE,2003-10-08,完结,科幻 战斗 剧情,科幻 战斗 剧情,http://www.gunslingergirl.com
圆盘皇女 十二月的夜想曲,"生长在瓦尔哈那行星的美丽公主瓦尔古雷,为了逃避所谓的政治婚姻,从行星出逃了.... ",日本,TV,円盤皇女ワるきゅーレ 十二月の夜想曲,介錯,TNK,2003-10-04,完结,搞笑 奇幻 后宫,搞笑 奇幻 后宫,暂无
圆盘皇女 乱七八糟新娘训练,第2期TVシリーズに先駆けた新作1話「七転八倒花嫁修業」を含むスペシャルDVDの登場!!,日本,OVA,円盤皇女ワるきゅーレ SPECIAL,介錯,TNK,2003-08-23,完结,搞笑 奇幻 后宫,搞笑 奇幻 后宫,http://www.tokinoyu.net/
